resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,2500,187,218,583.9968000000002,0.7231999999999997
ATCUtilitySolar,500,0.2,2500,125,187,25.052000000000007,0.0664
CBPC-NIPCOUtilitySolar,500,0.2,2500,187,218,243.42399999999998,1.0588000000000006
CONSUtilitySolar,500,0.2,2500,125,187,24.682400000000005,0.06399999999999996
DECOUtilitySolar,500,0.2,2500,125,187,0.7600000000000005,0.0036000000000000003
EES-ARKUtilitySolar,500,0.2,2500,62,93,12.128400000000001,0.021600000000000046
EES-TXUtilitySolar,500,0.2,2500,93,125,1427.6320000000005,2.6520000000000024
IA-EUtilitySolar,500,0.2,2500,187,250,78.94040000000001,0.15640000000000007
IL-CUtilitySolar,500,0.2,2500,156,187,3.935199999999998,0.016
IN-CUtilitySolar,500,0.2,2500,125,187,0.0,0.0
IN-SUtilitySolar,500,0.2,2500,125,156,0.0,0.0
LA-GULFUtilitySolar,500,0.2,2500,93,125,4745.161600000002,6.056399999999999
LA-NUtilitySolar,500,0.2,2500,93,125,179.80079999999992,0.3728
MECUtilitySolar,500,0.2,2500,187,218,1522.9676000000004,1.3312
MISO-MOUtilitySolar,500,0.2,2500,125,187,36.5544,0.12199999999999998
MISO-MSUtilitySolar,500,0.2,2500,62,93,1182.5524000000016,2.9392000000000005
MN-CUtilitySolar,500,0.2,2500,187,218,66.26240000000003,0.22800000000000004
MN-NEUtilitySolar,500,0.2,2500,187,250,1.4700000000000009,0.017200000000000014
MN-SEUtilitySolar,500,0.2,2500,125,187,574.1919999999999,0.634
NIPSUtilitySolar,500,0.2,2500,125,187,0.0,0.0
SIPCUtilitySolar,500,0.2,2500,62,125,0.0144,0.0016000000000000012
UPPCUtilitySolar,500,0.2,2500,125,187,13.545200000000003,0.16919999999999993
