resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,437,500,92.844,0.19080000000000003
ATC6hour,500,3000,0.2,2500,375,437,1.4924000000000008,0.005599999999999998
CBPC-NIPCO6hour,500,3000,0.2,2500,437,500,533.49,1.2676
CONS6hour,500,3000,0.2,2500,437,500,2.9919999999999995,0.0084
DECO6hour,500,3000,0.2,2500,437,500,0.04520000000000002,0.0004000000000000001
EES-ARK6hour,500,3000,0.2,2500,312,375,0.1512,0.0015999999999999999
EES-TX6hour,500,3000,0.2,2500,437,500,92.18720000000005,0.31760000000000005
IA-E6hour,500,3000,0.2,2500,437,500,12.202000000000002,0.029600000000000005
IL-C6hour,500,3000,0.2,2500,437,500,0.30200000000000016,0.0036000000000000008
IN-C6hour,500,3000,0.2,2500,437,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,437,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,437,500,192.12079999999997,0.5032000000000001
LA-N6hour,500,3000,0.2,2500,437,500,6.323199999999999,0.0272
MEC6hour,500,3000,0.2,2500,437,500,943.9295999999999,1.1616
MISO-MO6hour,500,3000,0.2,2500,468,500,2.8147999999999986,0.0204
MISO-MS6hour,500,3000,0.2,2500,437,500,60.03159999999998,0.31520000000000004
MN-C6hour,500,3000,0.2,2500,437,500,31.901600000000013,0.13599999999999998
MN-NE6hour,500,3000,0.2,2500,437,500,2.1843999999999992,0.016000000000000004
MN-SE6hour,500,3000,0.2,2500,437,500,129.66479999999999,0.278
NIPS6hour,500,3000,0.2,2500,312,375,0.0,0.0
SIPC6hour,500,3000,0.2,2500,437,500,0.0,0.0
UPPC6hour,500,3000,0.2,2500,468,500,2.5536000000000003,0.10240000000000002
